file	percent	reads	taxon_id	taxon_name
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/APC084_neg_ctl_5_S304_L001_kaiju	0.000000	0	10239	Viruses
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/APC084_neg_ctl_5_S304_L001_kaiju	0.000000	0	NA	cannot be assigned to a (non-viral) genus
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/APC084_neg_ctl_5_S304_L001_kaiju	-nan	0	NA	belong to a (non-viral) genus having less than 10 reads
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/APC084_neg_ctl_5_S304_L001_kaiju	-nan	0	NA	unclassified
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	32.664890	75223	1578	NA;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	2.446078	5633	810	NA;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	2.108239	4855	209	NA;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.077729	179	1716	NA;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.075124	173	1678	NA;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.066005	152	816	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.052543	121	216851	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.047332	109	1350	NA;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.042556	98	1301	NA;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.037779	87	1506553	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.032568	75	572511	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.028660	66	239759	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.025620	59	194	NA;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.025620	59	1279	NA;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.025186	58	2701	NA;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.022581	52	1485	NA;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.019541	45	32008	NA;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.016067	37	662	NA;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.016067	37	1017280	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.015633	36	1386	NA;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.011725	27	292632	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.010856	25	1730	NA;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.010422	24	397864	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.009988	23	286	NA;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.009988	23	1817	NA;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.009119	21	561	NA;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.008251	19	1253	NA;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.007816	18	33024	NA;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.007382	17	1883	NA;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.007382	17	44249	NA;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.006948	16	946234	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.006514	15	32207	NA;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.006079	14	1263	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.006079	14	69965	NA;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.005645	13	1637	NA;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.005645	13	2697	NA;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Heliobacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.005645	13	59753	NA;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.005645	13	261963	NA;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Kangiellaceae;Kangiella;NA;
