name	taxonomy_id	taxonomy_lvl	GF6-1P.bracken_num	GF6-1P.bracken_frac	GF6-2P.bracken_num	GF6-2P.bracken_frac	GF6-3P.bracken_num	GF6-3P.bracken_frac	GF7-1P.bracken_num	GF7-1P.bracken_frac	GF7-2P.bracken_num	GF7-2P.bracken_frac	GF7-3P.bracken_num	GF7-3P.bracken_frac	P2558.bracken_num	P2558.bracken_frac	P2560.bracken_num	P2560.bracken_frac	P2618.bracken_num	P2618.bracken_frac	P2620.bracken_num	P2620.bracken_frac	Q1T1.bracken_num	Q1T1.bracken_frac	Q2T2.bracken_num	Q2T2.bracken_frac	Q3T3.bracken_num	Q3T3.bracken_frac	Q4T7.bracken_num	Q4T7.bracken_frac	Q4T8.bracken_num	Q4T8.bracken_frac	Q5T4.bracken_num	Q5T4.bracken_frac	Q5T5.bracken_num	Q5T5.bracken_frac	Q5T6.bracken_num	Q5T6.bracken_frac	Q5T9.bracken_num	Q5T9.bracken_frac	Q6T10.bracken_num	Q6T10.bracken_frac
Mucilaginibacter gotjawali	1550579	S	0	0.00000	0	0.00000	18	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ottowia sp. KADR8-3	2109914	S	0	0.00000	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	557	0.00014	182	0.00012	0	0.00000	0	0.00000	0	0.00000	82	0.00002	98	0.00002
Pantoea vagans	470934	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00000	0	0.00000	18	0.00000	0	0.00000	0	0.00000	0	0.00000	154	0.00004	141	0.00009	0	0.00000	0	0.00000	0	0.00000	50	0.00001	123	0.00002
Arthrobacter sp. FB24	290399	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00001	16	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	95	0.00006	95	0.00003	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptococcus lutetiensis	150055	S	0	0.00000	0	0.00000	0	0.00000	25	0.00001	97	0.00004	76	0.00003	0	0.00000	0	0.00000	256	0.00002	112	0.00002	0	0.00000	0	0.00000	0	0.00000	68	0.00002	32	0.00002	0	0.00000	0	0.00000	0	0.00000	15	0.00000	19	0.00000
Mycobacterium colombiense	339268	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Burkholderia pseudomallei	28450	S	34	0.00002	12	0.00001	29	0.00003	0	0.00000	0	0.00000	0	0.00000	61	0.00001	0	0.00000	0	0.00000	0	0.00000	66	0.00004	72	0.00002	43	0.00001	16	0.00000	0	0.00000	0	0.00000	22	0.00001	0	0.00000	0	0.00000	0	0.00000
Pseudomonas sp. FDAARGOS_380	2018067	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12637	0.00226	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	53	0.00002	82	0.00002	34	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonas putida	303	S	0	0.00000	0	0.00000	0	0.00000	37	0.00002	0	0.00000	19	0.00001	295	0.00005	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1586	0.00040	2924	0.00187	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Citrobacter koseri	545	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	147	0.00004	158	0.00010	0	0.00000	0	0.00000	0	0.00000	77	0.00002	129	0.00002
Saccharopolyspora erythraea prophage pSE211	417290	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lactococcus virus CB13	665883	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1687	0.00030	0	0.00000	749	0.00007	802	0.00015	0	0.00000	0	0.00000	0	0.00000	278	0.00007	75	0.00005	0	0.00000	0	0.00000	0	0.00000	28	0.00001	249	0.00004
Actinoplanes sp. N902-109	649831	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Serratia marcescens	615	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	52	0.00000	48	0.00000	63	0.00001	0	0.00000	0	0.00000	43	0.00001	323	0.00008	174	0.00011	0	0.00000	0	0.00000	0	0.00000	11	0.00000	20	0.00000
Lactococcus virus CB14	665884	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1313	0.00023	0	0.00000	710	0.00007	753	0.00014	0	0.00000	0	0.00000	0	0.00000	166	0.00004	44	0.00003	0	0.00000	0	0.00000	0	0.00000	21	0.00001	244	0.00004
Xylanimonas cellulosilytica	186189	S	26	0.00002	14	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	110	0.00007	117	0.00003	95	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lactococcus virus bIL170	63118	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	237	0.00004	0	0.00000	222	0.00002	195	0.00004	0	0.00000	0	0.00000	0	0.00000	1676	0.00042	414	0.00026	0	0.00000	0	0.00000	0	0.00000	0	0.00000	71	0.00001
Corynebacterium sp. 2184	2079535	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00001	19	0.00001	19	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lactobacillus gasseri	1596	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	56	0.00001	18	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000
Flavobacterium sp. MEBiC07310	2201181	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000
Lactobacillus hokkaidonensis	1193095	S	0	0.00000	0	0.00000	0	0.00000	26	0.00001	33	0.00001	33	0.00001	71	0.00001	0	0.00000	827	0.00008	219	0.00004	0	0.00000	0	0.00000	0	0.00000	406	0.00010	109	0.00007	0	0.00000	0	0.00000	0	0.00000	111	0.00003	69	0.00001
Cellulomonas gilvus	11	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter cloacae complex sp.	2027919	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00000	0	0.00000	0	0.00000	0	0.00000	104	0.00003	100	0.00006	0	0.00000	0	0.00000	0	0.00000	19	0.00001	41	0.00001
Corynebacterium glutamicum	1718	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	824	0.00015	0	0.00000	158	0.00002	33	0.00001	0	0.00000	0	0.00000	0	0.00000	50	0.00001	19	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Corynebacterium maris	575200	S	186	0.00013	157	0.00009	0	0.00000	184	0.00008	126	0.00005	202	0.00007	536	0.00010	13	0.00000	18	0.00000	0	0.00000	31	0.00002	46	0.00001	56	0.00002	26	0.00001	0	0.00000	0	0.00000	354	0.00018	28	0.00003	30	0.00001	55	0.00001
Providencia stuartii	588	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	30	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus sp. FSL R5-0912	1536771	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Dietzia sp. oral taxon 368	712270	S	1548	0.00109	6482	0.00365	579	0.00064	648	0.00029	744	0.00030	868	0.00031	29	0.00001	0	0.00000	16	0.00000	0	0.00000	227	0.00015	631	0.00017	276	0.00009	24	0.00001	27	0.00002	0	0.00000	60	0.00003	0	0.00000	0	0.00000	29	0.00000
Kocuria flava	446860	S	33	0.00002	52	0.00003	0	0.00000	18	0.00001	20	0.00001	27	0.00001	12	0.00000	0	0.00000	137	0.00001	83	0.00002	146	0.00010	190	0.00005	99	0.00003	43	0.00001	0	0.00000	0	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000
Janibacter indicus	857417	S	340	0.00024	490	0.00028	77	0.00009	366	0.00016	221	0.00009	393	0.00014	751	0.00013	60	0.00000	105	0.00001	0	0.00000	1006	0.00067	1540	0.00042	1159	0.00037	213	0.00005	61	0.00004	17	0.00008	1294	0.00067	93	0.00008	93	0.00002	75	0.00001
Nocardioides sp. JS614	196162	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Salinibacterium sp. CGMCC 1.16371	2079791	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42	0.00003	0	0.00000	69	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae bacterium ENNIH1	2066051	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00000	26	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	28	0.00000
Enterobacteriaceae bacterium ENNIH2	1920109	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00000	69	0.00001	0	0.00000	0	0.00000	0	0.00000	222	0.00006	461	0.00029	0	0.00000	0	0.00000	0	0.00000	11	0.00000	42	0.00001
