perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	12_all	12_lvl	lvl_type	taxid	name
1.7450	775482	530725	17777	12049	253753	172126	267730	183027	70	52	122	84	10741	7429	169	118	13	9	589	395	2512	1683	1097	763	220909	152990	S	1606	                  Lactobacillus aviarius
0.5508	244757	0	5728	0	81627	0	84703	0	18	0	38	0	3312	0	51	0	4	0	194	0	829	0	334	0	67919	0	S1	147810	                    Lactobacillus aviarius subsp. aviarius
1.6516	733974	641275	9571	8382	135630	118700	379427	330431	61	59	2	2	11	6	0	0	19	18	2815	2368	203754	178963	2668	2331	16	15	S	52242	                  Lactobacillus gallinarum
0.2086	92699	92699	1189	1189	16930	16930	48996	48996	2	2	0	0	5	5	0	0	1	1	447	447	24791	24791	337	337	1	1	S1	1423748	                    Lactobacillus gallinarum DSM 10532 = JCM 2011
0.9554	424566	404882	5318	5107	58385	55727	223899	213748	79	77	10	10	98	82	1	1	129	119	30124	27875	104979	100660	1481	1424	63	52	S	47770	                  Lactobacillus crispatus
0.0211	9360	9360	95	95	1331	1331	5124	5124	1	1	0	0	5	5	0	0	3	3	690	690	2077	2077	27	27	7	7	S1	748671	                    Lactobacillus crispatus ST1
0.0186	8252	8252	100	100	1089	1089	4036	4036	1	1	0	0	11	11	0	0	4	4	1165	1165	1815	1815	28	28	3	3	S1	1328863	                    Lactobacillus crispatus EM-LC1
0.0017	765	765	4	4	93	93	365	365	0	0	0	0	0	0	0	0	3	3	149	149	150	150	1	1	0	0	S1	575597	                    Lactobacillus crispatus MV-3A-US
0.0012	550	550	5	5	76	76	305	305	0	0	0	0	0	0	0	0	0	0	63	63	100	100	1	1	0	0	S1	575595	                    Lactobacillus crispatus 125-2-CHN
0.0007	292	292	1	1	9	9	72	72	0	0	0	0	0	0	0	0	0	0	150	150	59	59	0	0	1	1	S1	883092	                    Lactobacillus crispatus FB077-07
0.0004	197	197	1	1	26	26	112	112	0	0	0	0	0	0	0	0	0	0	8	8	50	50	0	0	0	0	S1	679188	                    Lactobacillus crispatus 214-1
0.0003	141	141	2	2	18	18	68	68	0	0	0	0	0	0	0	0	0	0	10	10	43	43	0	0	0	0	S1	491076	                    Lactobacillus crispatus JV-V01
0.0002	80	80	2	2	9	9	41	41	0	0	0	0	0	0	0	0	0	0	11	11	17	17	0	0	0	0	S1	883094	                    Lactobacillus crispatus FB049-03
0.0001	42	42	1	1	7	7	25	25	0	0	0	0	0	0	0	0	0	0	3	3	6	6	0	0	0	0	S1	575596	                    Lactobacillus crispatus MV-1A-US
0.0000	4	4	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	S1	575598	                    Lactobacillus crispatus SJ-3C-US
0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	S1	1423736	                    Lactobacillus crispatus DSM 20584 = JCM 1185
0.9385	417051	393062	6781	6426	75948	71784	226740	213890	79	75	32	31	87	82	2	2	138	128	16867	15676	88261	82978	2029	1909	87	81	S	33959	                  Lactobacillus johnsonii
0.0315	14007	14007	200	200	2384	2384	7337	7337	1	1	0	0	2	2	0	0	9	9	914	914	3076	3076	78	78	6	6	S1	633699	                    Lactobacillus johnsonii FI9785
0.0090	4002	4002	71	71	681	681	2139	2139	1	1	1	1	3	3	0	0	1	1	133	133	959	959	13	13	0	0	S1	1033983	                    Lactobacillus johnsonii 16
0.0068	3001	3001	40	40	545	545	1635	1635	0	0	0	0	0	0	0	0	0	0	121	121	644	644	16	16	0	0	S1	525330	                    Lactobacillus johnsonii ATCC 33200
0.0052	2333	2333	37	37	428	428	1370	1370	2	2	0	0	0	0	0	0	0	0	8	8	478	478	10	10	0	0	S1	909954	                    Lactobacillus johnsonii DPC 6026
0.0013	582	582	7	7	113	113	337	337	0	0	0	0	0	0	0	0	0	0	14	14	109	109	2	2	0	0	S1	257314	                    Lactobacillus johnsonii NCC 533
0.0001	64	64	0	0	13	13	32	32	0	0	0	0	0	0	0	0	0	0	1	1	17	17	1	1	0	0	S1	1408186	                    Lactobacillus johnsonii N6.2
0.5256	233598	229875	3078	3041	43947	43495	104216	102869	30	30	19	18	69	69	4	4	10	10	4173	4115	75943	74149	1764	1730	345	345	S	1598	                  Lactobacillus reuteri
0.0043	1892	1892	11	11	106	106	532	532	0	0	1	1	0	0	0	0	0	0	34	34	1186	1186	22	22	0	0	S1	1340495	                    Lactobacillus reuteri I5007
0.0025	1098	1098	14	14	202	202	494	494	0	0	0	0	0	0	0	0	0	0	13	13	365	365	10	10	0	0	S1	349123	                    Lactobacillus reuteri 100-23
0.0005	219	219	4	4	33	33	102	102	0	0	0	0	0	0	0	0	0	0	1	1	78	78	1	1	0	0	S1	863368	                    Lactobacillus reuteri lpuph
0.0005	206	206	4	4	54	54	71	71	0	0	0	0	0	0	0	0	0	0	6	6	70	70	1	1	0	0	S1	491077	                    Lactobacillus reuteri SD2112
0.0002	109	0	0	0	15	0	59	0	0	0	0	0	0	0	0	0	0	0	3	0	32	0	0	0	0	0	S1	1273150	                    Lactobacillus reuteri 1063
0.0002	98	98	0	0	26	26	44	44	0	0	0	0	0	0	0	0	0	0	1	1	27	27	0	0	0	0	S1	1358027	                    Lactobacillus reuteri TD1
0.0002	91	91	3	3	14	14	43	43	0	0	0	0	0	0	0	0	0	0	0	0	31	31	0	0	0	0	S1	863369	                    Lactobacillus reuteri mlc3
0.0000	10	10	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	S1	525341	                    Lactobacillus reuteri CF48-3A
0.1737	77185	60685	1148	884	7879	6170	37670	29769	26	15	30	25	83	66	8	7	18	15	9856	7801	19867	15455	570	457	30	21	S	1632	                  Lactobacillus oris
0.0144	6380	6380	92	92	688	688	3052	3052	4	4	3	3	9	9	0	0	1	1	792	792	1703	1703	35	35	1	1	S1	1423779	                    Lactobacillus oris DSM 4864
0.0120	5336	5336	95	95	544	544	2530	2530	2	2	2	2	4	4	0	0	0	0	678	678	1440	1440	35	35	6	6	S1	908339	                    Lactobacillus oris PB013-T2-3
0.0108	4784	4784	77	77	477	477	2319	2319	5	5	0	0	4	4	1	1	2	2	585	585	1269	1269	43	43	2	2	S1	944562	                    Lactobacillus oris F0423
0.1487	66102	49699	846	666	7758	5952	27548	20616	27	19	12	8	24	18	2	0	2	2	927	687	28506	21380	443	347	7	4	S	1633	                  Lactobacillus vaginalis
0.0369	16403	16403	180	180	1806	1806	6932	6932	8	8	4	4	6	6	2	2	0	0	240	240	7126	7126	96	96	3	3	S1	1423814	                    Lactobacillus vaginalis DSM 5837 = ATCC 49540
0.1486	66045	31169	831	352	11163	5072	34062	16695	6	3	1	0	4	3	0	0	1	0	471	310	19261	8621	242	111	3	2	S	1604	                  Lactobacillus amylovorus
0.0229	10167	10167	119	119	1760	1760	5242	5242	0	0	0	0	1	1	0	0	0	0	45	45	2952	2952	48	48	0	0	S1	695560	                    Lactobacillus amylovorus GRL 1112
0.0221	9817	9817	140	140	1806	1806	4752	4752	1	1	1	1	0	0	0	0	0	0	39	39	3050	3050	27	27	1	1	S1	695563	                    Lactobacillus amylovorus DSM 16698
0.0211	9363	9363	145	145	1621	1621	4613	4613	1	1	0	0	0	0	0	0	0	0	48	48	2905	2905	30	30	0	0	S1	1423723	                    Lactobacillus amylovorus DSM 20531
0.0124	5529	5529	75	75	904	904	2760	2760	1	1	0	0	0	0	0	0	1	1	29	29	1733	1733	26	26	0	0	S1	695562	                    Lactobacillus amylovorus GRL1118
0.1389	61725	47236	289	122	4098	1921	11591	5419	255	244	37	35	453	448	4	4	244	235	31631	29679	8073	4133	130	81	4920	4915	S	1624	                  Lactobacillus salivarius
0.0282	12517	12517	156	156	1957	1957	5452	5452	7	7	2	2	3	3	0	0	6	6	1535	1535	3354	3354	41	41	4	4	S1	1029822	                    Lactobacillus salivarius NIAS840
