#Number of Samples: 12
#Total Number of Reads: 44439983
#S1	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N10_Nuria_kraken_report
#S2	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N11_Nuria_kraken_report
#S3	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N12_Nuria_kraken_report
#S4	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N1_Nuria_kraken_report
#S5	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N2_Nuria_kraken_report
#S6	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N3_Nuria_kraken_report
#S7	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N4_Nuria_kraken_report
#S8	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N5_Nuria_kraken_report
#S9	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N6_Nuria_kraken_report
#S10	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N7_Nuria_kraken_report
#S11	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N8_Nuria_kraken_report
#S12	/data/Food/analysis/R0602_microsupport/jamie.fitzgerald/r0937/4__krak2/_N9_Nuria_kraken_report
#perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	12_all	12_lvl	lvl_type	taxid	name
78.6703	34961072	34961072	394578	394578	2000559	2000559	5571045	5571045	356708	356708	182064	182064	391545	391545	103775	103775	351467	351467	20991942	20991942	3471399	3471399	287511	287511	858479	858479	U	0	unclassified
21.3297	9478911	372235	110062	8643	1341026	57250	3812419	170563	13788	4885	5519	2382	15364	4478	2274	1137	17451	3791	1993435	36924	2090195	69014	40897	4101	36481	9067	R	1	root
20.3902	9061404	44	101143	2	1281657	1	3638480	7	8693	2	3029	0	10408	0	752	1	10539	1	1923127	15	2019856	2	36622	4	27098	9	R1	131567	  cellular organisms
20.3901	9061351	296974	101138	2019	1281656	11216	3638473	29852	8691	1314	3029	551	10408	1454	751	450	10538	1318	1923112	226024	2019852	17993	36616	1167	27087	3616	D	2	    Bacteria
18.7853	8348169	78760	98613	261	1267602	3011	3605680	7697	5144	80	822	15	6827	183	245	4	3608	52	1309526	61761	1996107	4579	32986	165	21009	952	D1	1783272	      Terrabacteria group
17.9163	7962016	97613	97587	243	1263651	2518	3587082	6581	3424	102	507	14	3721	209	79	7	2894	65	1005611	83060	1946803	3973	32186	239	18471	602	P	1239	        Firmicutes
16.1444	7174565	37001	97212	508	1257406	6020	3574607	16812	2509	26	369	2	1879	91	39	0	2372	13	251140	2579	1939308	9186	30369	152	17355	1612	C	91061	          Bacilli
16.0358	7126288	75005	96698	973	1251333	11553	3557529	32646	2395	31	358	5	1756	177	35	2	2329	16	248056	8248	1920023	18338	30072	290	15704	2726	O	186826	            Lactobacillales
15.7130	6982862	81020	95625	1106	1238727	13277	3523645	37102	1276	11	291	5	1390	177	26	0	1180	11	190488	3139	1887669	22632	29694	311	12851	3249	F	33958	              Lactobacillaceae
15.5284	6900797	3165903	94509	42138	1225321	552049	3486072	1622308	1263	287	286	64	1211	449	26	4	1165	254	187291	47195	1864686	882318	29378	11334	9589	7503	G	1578	                Lactobacillus
2.9882	1327944	1151720	21492	18803	239481	208786	717508	623274	230	191	73	60	260	216	2	2	334	280	51425	44064	290213	249977	6122	5299	804	768	S	33959	                  Lactobacillus johnsonii
0.3402	151200	151200	2332	2332	26339	26339	80912	80912	33	33	12	12	37	37	0	0	48	48	6529	6529	34215	34215	712	712	31	31	S1	633699	                    Lactobacillus johnsonii FI9785
0.0411	18270	18270	249	249	3129	3129	9692	9692	2	2	0	0	3	3	0	0	2	2	400	400	4713	4713	78	78	2	2	S1	909954	                    Lactobacillus johnsonii DPC 6026
0.0152	6754	6754	108	108	1227	1227	3630	3630	4	4	1	1	4	4	0	0	4	4	432	432	1308	1308	33	33	3	3	S1	1408186	                    Lactobacillus johnsonii N6.2
2.1842	970661	767918	12744	10063	170739	135572	500665	395821	90	72	10	7	33	28	0	0	57	44	11273	8790	271807	214965	3220	2536	23	20	S	1604	                  Lactobacillus amylovorus
