perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	12_all	12_lvl	lvl_type	taxid	name
2.9882	1327944	1151720	21492	18803	239481	208786	717508	623274	230	191	73	60	260	216	2	2	334	280	51425	44064	290213	249977	6122	5299	804	768	S	33959	                  Lactobacillus johnsonii
0.3402	151200	151200	2332	2332	26339	26339	80912	80912	33	33	12	12	37	37	0	0	48	48	6529	6529	34215	34215	712	712	31	31	S1	633699	                    Lactobacillus johnsonii FI9785
0.0411	18270	18270	249	249	3129	3129	9692	9692	2	2	0	0	3	3	0	0	2	2	400	400	4713	4713	78	78	2	2	S1	909954	                    Lactobacillus johnsonii DPC 6026
0.0152	6754	6754	108	108	1227	1227	3630	3630	4	4	1	1	4	4	0	0	4	4	432	432	1308	1308	33	33	3	3	S1	1408186	                    Lactobacillus johnsonii N6.2
2.1842	970661	767918	12744	10063	170739	135572	500665	395821	90	72	10	7	33	28	0	0	57	44	11273	8790	271807	214965	3220	2536	23	20	S	1604	                  Lactobacillus amylovorus
0.3046	135368	135368	1813	1813	23729	23729	69603	69603	11	11	1	1	3	3	0	0	9	9	1384	1384	38356	38356	457	457	2	2	S1	1423723	                    Lactobacillus amylovorus DSM 20531
0.1516	67375	67375	868	868	11438	11438	35241	35241	7	7	2	2	2	2	0	0	4	4	1099	1099	18486	18486	227	227	1	1	S1	695562	                    Lactobacillus amylovorus GRL1118
1.7623	783187	447188	10600	6092	157726	90221	342483	197054	127	70	64	36	148	90	10	9	30	17	11755	6563	253636	143279	6410	3600	198	157	S	1598	                  Lactobacillus reuteri
0.7058	313670	313670	4271	4271	64209	64209	136405	136405	55	55	27	27	53	53	0	0	11	11	4680	4680	101295	101295	2626	2626	38	38	S1	491077	                    Lactobacillus reuteri SD2112
0.0280	12450	12450	118	118	1354	1354	4568	4568	0	0	1	1	2	2	0	0	2	2	237	237	6057	6057	110	110	1	1	S1	1340495	                    Lactobacillus reuteri I5007
0.0132	5882	5882	65	65	1229	1229	2469	2469	1	1	0	0	2	2	1	1	0	0	234	234	1834	1834	46	46	1	1	S1	1358027	                    Lactobacillus reuteri TD1
