"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0010239"	"Viruses"	"Viruses"	"Viruses"	"Viruses"	"Viruses"	"Viruses"	"kai__0010239"
"kai__NA"	NA	NA	NA	NA	NA	NA	"kai__NA"
"kai__0001578"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"NA"	"kai__0001578"
"kai__0000810"	"Chlamydiae"	"Chlamydiia"	"Chlamydiales"	"Chlamydiaceae"	"Chlamydia"	"NA"	"kai__0000810"
"kai__0000209"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	"NA"	"kai__0000209"
"kai__0001716"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"NA"	"kai__0001716"
"kai__0001678"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"NA"	"kai__0001678"
"kai__0000816"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"NA"	"kai__0000816"
"kai__0216851"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	"NA"	"kai__0216851"
"kai__0001350"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"NA"	"kai__0001350"
"kai__0001301"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"NA"	"kai__0001301"
"kai__1506553"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	"NA"	"kai__1506553"
"kai__0572511"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"NA"	"kai__0572511"
"kai__0239759"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"NA"	"kai__0239759"
"kai__0000194"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	"NA"	"kai__0000194"
"kai__0001279"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"NA"	"kai__0001279"
"kai__0002701"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	"NA"	"kai__0002701"
"kai__0001485"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"NA"	"kai__0001485"
"kai__0032008"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Burkholderia"	"NA"	"kai__0032008"
"kai__0000662"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"NA"	"kai__0000662"
"kai__1017280"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Pseudoflavonifractor"	"NA"	"kai__1017280"
"kai__0001386"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"NA"	"kai__0001386"
"kai__0292632"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	"NA"	"kai__0292632"
"kai__0001730"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Eubacterium"	"NA"	"kai__0001730"
"kai__0397864"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Barnesiellaceae"	"Barnesiella"	"NA"	"kai__0397864"
"kai__0000286"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"NA"	"kai__0000286"
"kai__0001817"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Nocardia"	"NA"	"kai__0001817"
"kai__0000561"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"NA"	"kai__0000561"
"kai__0001253"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Pediococcus"	"NA"	"kai__0001253"
"kai__0033024"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Phascolarctobacterium"	"NA"	"kai__0033024"
"kai__0001883"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"NA"	"kai__0001883"
"kai__0044249"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Paenibacillus"	"NA"	"kai__0044249"
"kai__0946234"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Flavonifractor"	"NA"	"kai__0946234"
"kai__0032207"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	"NA"	"kai__0032207"
"kai__0001263"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	"NA"	"kai__0001263"
"kai__0069965"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Macrococcus"	"NA"	"kai__0069965"
"kai__0001637"	"Firmicutes"	"Bacilli"	"Bacillales"	"Listeriaceae"	"Listeria"	"NA"	"kai__0001637"
"kai__0002697"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Heliobacteriaceae"	"Heliobacterium"	"NA"	"kai__0002697"
"kai__0059753"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Alcanivoracaceae"	"Alcanivorax"	"NA"	"kai__0059753"
"kai__0261963"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Kangiellaceae"	"Kangiella"	"NA"	"kai__0261963"
"kai__0001243"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	"NA"	"kai__0001243"
"kai__0543311"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Parvimonas"	"NA"	"kai__0543311"
"kai__0580596"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Butyricicoccus"	"NA"	"kai__0580596"
"kai__0000547"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"NA"	"kai__0000547"
"kai__2048137"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Agathobaculum"	"NA"	"kai__2048137"
