"X_N10_Nuria_S301_L001"	"X_N11_Nuria_S302_L001"	"X_N12_Nuria_S303_L001"	"X_N1_Nuria_S292_L001"	"X_N2_Nuria_S293_L001"	"X_N3_Nuria_S294_L001"	"X_N4_Nuria_S295_L001"	"X_N5_Nuria_S296_L001"	"X_N6_Nuria_S297_L001"	"X_N7_Nuria_S298_L001"	"X_N8_Nuria_S299_L001"	"X_N9_Nuria_S300_L001"
"k2_0000195"	0	0	0	0.01691	0	0.0381	0	0	0.14596	0	0	0
"k2_0000197"	0	0.00227	0.00117	0.00999	0.04645	0.03361	0	0.45877	0.03886	7e-04	0.00746	0
"k2_0000316"	0	0	0	0	0	0	0	0	0	1e-04	0	0
"k2_0000562"	0	0	0	0	0	0	0	0.13427	0.00762	0	0	0.14107
"k2_0000750"	0	0	0	0.19216	0.77506	0.11261	0	0	0	0	0	0.0303
"k2_0000817"	0	0.00018	0	0.01307	0	0.04762	0	0	0.11962	0.00029	0.0095	0.00852
"k2_0000818"	0	0	0	0	0	0	0	0	0.00452	0	0	0
"k2_0000821"	0	0	0	0	0	0	0	0	5e-04	0	0.00475	0
"k2_0000853"	0	0	0	0	0	0	0	0	0.00762	0	0	0
"k2_0000901"	0	0	0	0	0	0	0	0	7e-05	0	0	0
"k2_0000907"	0	0	0	0	0	0	0	0	0.00032	0	0	0
"k2_0001249"	0	0	0	0	0	0	0	0	0	6e-05	0	0
"k2_0001280"	0	0	0	0	0	0	0	0	0	0.0137	0	0
"k2_0001288"	0	0	0	0	0	0	0	0	0	0.00076	0	0
"k2_0001307"	0	0	0	0	0	0	0	0	0.00164	0	0	0
"k2_0001311"	0	0	0	0	0	0	0	0	0.00124	0	0	0
"k2_0001322"	0	0	0	0	0	0	0	0	0.00206	0	0	0
"k2_0001351"	0	0	0	0.08762	0	0	0	0	9e-05	0	0	0
"k2_0001352"	0	0.00014	0.00011	0	0	0	0	0	0.01004	0.00093	0	0
"k2_0001354"	0	0	0	0	0	0	0	0	0	6e-05	0	0
"k2_0001358"	0	0	0	0.05688	0	0	0	0	0.00016	0	0	0
"k2_0001491"	0	0	0	0	0	0	0	0	0	0	0	0.00994
"k2_0001496"	0	0	0	0	0	0	0	0	0.04904	0	0	0
"k2_0001502"	0	0.004	0.00263	0	0	0	0	0	0.00158	9e-05	0	0
"k2_0001564"	0	0	0	0	0	0	0	0	4e-05	0	0	0
"k2_0001579"	0.00163	0.00292	0.00235	0	0	0	0	0	0.00013	0.003	0.00187	0
"k2_0001584"	0	0.00037	0.00047	0	0	0	0	0	0	0.00043	0	0
"k2_0001587"	0.08024	0.06885	0.06316	0	0	0	0	0	0.00149	0.06336	0.04731	0
"k2_0001590"	0	0.01791	0.02356	0	0	0	0	0	0	0.02616	0	0
"k2_0001596"	0	1e-04	0.00019	0	0	0	0	0	0.00016	0.00013	0	0
"k2_0001598"	0.20932	0.24681	0.19522	0.0392	0.06357	0.0437	0	0	0.01446	0.27011	0.32355	0.0232
"k2_0001599"	0	0.00059	0.00046	0	0	0	0	0	0	0.00032	0	0.15716
"k2_0001600"	0	0	0.00011	0	0	0	0	0	0	0	0	0
"k2_0001601"	0	1e-04	9e-05	0.01307	0	0	0	0.0087	0.00961	0.00015	0	0.00994
"k2_0001604"	0.15543	0.1762	0.18944	0	0	0	0	0	0.01226	0.19028	0.12464	0
"k2_0001610"	0	0	5e-05	0	0	0	0	0	0	8e-05	0	0
"k2_0001613"	0.00178	0.00219	0.00272	0	0	0	0	0	0.00011	0.00201	0	0
"k2_0001624"	0.00141	0.00372	0.0037	0.08609	0.03912	0.06162	0	0.04393	0.05804	0.00498	0.00577	0.05065
"k2_0001685"	0	0	0	0	0	0	0	0	0.00125	0	0	0
"k2_0001694"	0	0	0	0	0	0.01905	0	0	0.01888	0	0	0
"k2_0001697"	0	0	0	0	0	0	0	0	0	0.00011	0	0
"k2_0001703"	0	0	0	0	0	0	0	0	0	0.00085	0	0
"k2_0001705"	0.00601	0.00029	0.00353	0	0	0	0	0	0	0.02408	0.00627	0
"k2_0001718"	0	0	0.00057	0	0	0	0	0	0	0.00235	0	0
"k2_0001727"	0	0	4e-05	0	0	0	0	0	0	0.00014	0	0
"k2_0001736"	0	0	0	0	0	0	0	0	0.00131	0	0	0
"k2_0001747"	0	0	0	0.25288	0.07579	0.34286	0	0.00829	7e-05	0.00018	0	0.05538
"k2_0028025"	0	0	0	0	0	0	0	0	0.01543	0	0	0
"k2_0028113"	0	0	0	0	0	0	0	0	0.00022	0	0	0
"k2_0028116"	0	0	0	0	0	0	0	0	0.00356	0	0	0
"k2_0028118"	0	0	0	0	0	0	0	0	5e-05	0	0	0
"k2_0029382"	0	0	0	0	0	0	0	0	0	0.00078	0	0
"k2_0029385"	0	0	0	0	0	0	0	0	0	0.00409	0.0039	0
"k2_0033959"	0.52071	0.44713	0.48792	0.10453	0	0.13782	0	0.07169	0.07626	0.35324	0.37985	0.50982
"k2_0039488"	0	0	0	0	0	0	0	0	0.00139	0	0	0
"k2_0039491"	0	0	0	0	0	0	0	0	0.00014	0	0	0
"k2_0043669"	0	0	0	0	0	0	0	0	0	0.00125	0	0
"k2_0044008"	0	0	0	0.04074	0	0	0	0	0.01171	0.0024	0	0
"k2_0047678"	0	0	0	0	0	0	0	0	0.00011	0	0	0
"k2_0051665"	0	0	0	0	0	0	0	0	0	0.00084	0	0
"k2_0052242"	0.01885	0.01332	0.01091	0	0	0	0	0	0	0.01278	0	0
"k2_0053345"	0	0.00045	8e-05	0	0	0	0	0.07252	0.00064	7e-05	0	0
"k2_0059310"	0	0	0	0	0	0	0	0	0.00059	0	0	0
"k2_0061015"	0	0	0	0	0	0	0	0	0	6e-05	0	0
"k2_0082348"	0	0	0.00011	0	0	0	0	0	0	0.00405	0	0
"k2_0083683"	0	0.00066	0.00076	0	0	0	0	0	0	0.00095	0	0
"k2_0084112"	0	0	0	0	0	0	0	0	6e-05	0	0	0
"k2_0097478"	0	0.0011	0.00103	0	0	0	0	0	0	0.00191	0	0
"k2_0102684"	0	0	0	0	0	0	0	0	0.00552	0	0	0
"k2_0139872"	0	0.00389	0.00426	0	0	0	0	0	0	0.00216	0	0
"k2_0150055"	0	0	0	0	0	0	0	0	0.00068	0	0	0
"k2_0160386"	0	0	4e-05	0	0	0	0	0	0	0.00036	0	0
"k2_0190064"	0	0	0	0	0	0.03361	1	0.19768	0.00226	0	0	0
"k2_0190065"	0	0.00075	0	0	0	0	0	0	0	0	0	0
"k2_0197614"	0	0	0	0	0	0	0	0	0.00031	0	0	0
"k2_0208479"	0	0	0	0	0	0	0	0	0.00188	0	0	0
"k2_0214856"	0	0	0	0	0	0.00784	0	0	0.02536	0	0	0.00402
