"D"	"P"	"C"	"O"	"F"	"G"	"S"	"k2_id"
"k2_0000195"	"k__Bacteria"	"p__Proteobacteria"	"c__Epsilonproteobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter"	"s__Campylobacter_coli"	195
"k2_0000197"	"k__Bacteria"	"p__Proteobacteria"	"c__Epsilonproteobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter"	"s__Campylobacter_jejuni"	197
"k2_0000316"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	"s__Pseudomonas_stutzeri"	316
"k2_0000562"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia_coli"	562
"k2_0000750"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	"g__Gallibacterium"	"s__Gallibacterium_anatis"	750
"k2_0000817"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_fragilis"	817
"k2_0000818"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_thetaiotaomicron"	818
"k2_0000821"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_vulgatus"	821
"k2_0000853"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Ruminococcaceae"	"g__Faecalibacterium"	"s__Faecalibacterium_prausnitzii"	853
"k2_0000901"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__Desulfovibrio"	"s__Desulfovibrio_piger"	901
"k2_0000907"	"k__Bacteria"	"p__Firmicutes"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__Megasphaera"	"s__Megasphaera_elsdenii"	907
"k2_0001249"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Leuconostocaceae"	"g__Weissella"	"s__Weissella_paramesenteroides"	1249
"k2_0001280"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus_aureus"	1280
"k2_0001288"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus_xylosus"	1288
"k2_0001307"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_suis"	1307
"k2_0001311"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_agalactiae"	1311
"k2_0001322"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Blautia"	"s__Blautia_hansenii"	1322
"k2_0001351"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus"	"s__Enterococcus_faecalis"	1351
"k2_0001352"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus"	"s__Enterococcus_faecium"	1352
"k2_0001354"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus"	"s__Enterococcus_hirae"	1354
"k2_0001358"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Lactococcus"	"s__Lactococcus_lactis"	1358
"k2_0001491"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium_botulinum"	1491
"k2_0001496"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	"g__Clostridioides"	"s__Clostridioides_difficile"	1496
"k2_0001502"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium_perfringens"	1502
"k2_0001564"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptococcaceae"	"g__Desulfotomaculum"	"s__Desulfotomaculum_ruminis"	1564
"k2_0001579"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_acidophilus"	1579
"k2_0001584"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_delbrueckii"	1584
"k2_0001587"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_helveticus"	1587
"k2_0001590"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_plantarum"	1590
"k2_0001596"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_gasseri"	1596
"k2_0001598"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_reuteri"	1598
"k2_0001599"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_sakei"	1599
"k2_0001600"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_acetotolerans"	1600
"k2_0001601"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_agilis"	1601
"k2_0001604"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_amylovorus"	1604
"k2_0001610"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_coryniformis"	1610
"k2_0001613"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_fermentum"	1613
"k2_0001624"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_salivarius"	1624
"k2_0001685"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium_breve"	1685
"k2_0001694"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium_pseudolongum"	1694
"k2_0001697"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_ammoniagenes"	1697
"k2_0001703"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Micrococcales"	"f__Brevibacteriaceae"	"g__Brevibacterium"	"s__Brevibacterium_linens"	1703
"k2_0001705"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_stationis"	1705
"k2_0001718"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_glutamicum"	1718
"k2_0001727"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_variabile"	1727
"k2_0001736"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Eubacteriaceae"	"g__Eubacterium"	"s__Eubacterium_limosum"	1736
"k2_0001747"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Propionibacteriales"	"f__Propionibacteriaceae"	"g__Cutibacterium"	"s__Cutibacterium_acnes"	1747
"k2_0028025"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium_animalis"	28025
"k2_0028113"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_heparinolyticus"	28113
"k2_0028116"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_ovatus"	28116
"k2_0028118"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Odoribacteraceae"	"g__Odoribacter"	"s__Odoribacter_splanchnicus"	28118
"k2_0029382"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus_cohnii"	29382
"k2_0029385"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus_saprophyticus"	29385
"k2_0033959"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_johnsonii"	33959
"k2_0039488"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Eubacteriaceae"	"g__Eubacterium"	"s__[Eubacterium]_hallii"	39488
"k2_0039491"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"unkn."	"s__[Eubacterium]_rectale"	39491
"k2_0043669"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Micrococcales"	"f__Dermabacteraceae"	"g__Brachybacterium"	"s__Brachybacterium_faecium"	43669
"k2_0044008"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus"	"s__Enterococcus_cecorum"	44008
"k2_0047678"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_caccae"	47678
"k2_0051665"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Aerococcaceae"	"g__Aerococcus"	"s__Aerococcus_urinaeequi"	51665
"k2_0052242"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_gallinarum"	52242
"k2_0053345"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus"	"s__Enterococcus_durans"	53345
"k2_0059310"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_macedonicus"	59310
"k2_0061015"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus_succinus"	61015
"k2_0082348"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_pluranimalium"	82348
"k2_0083683"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_amylolyticus"	83683
"k2_0084112"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Eggerthellales"	"f__Eggerthellaceae"	"g__Eggerthella"	"s__Eggerthella_lenta"	84112
"k2_0097478"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus_mucosae"	97478
"k2_0102684"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_infantarius"	102684
"k2_0139872"	"k__Viruses"	"unkn."	"unkn."	"o__Caudovirales"	"f__Siphoviridae"	"unkn."	"s__Lactobacillus_prophage_Lj928"	139872
"k2_0150055"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_lutetiensis"	150055
"k2_0160386"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_casei"	160386
"k2_0190064"	"k__Viruses"	"unkn."	"unkn."	"unkn."	"f__Adenoviridae"	"g__Aviadenovirus"	"s__Fowl_aviadenovirus_D"	190064
"k2_0190065"	"k__Viruses"	"unkn."	"unkn."	"unkn."	"f__Adenoviridae"	"g__Aviadenovirus"	"s__Fowl_aviadenovirus_E"	190065
"k2_0197614"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_pasteurianus"	197614
"k2_0208479"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Lachnoclostridium"	"s__[Clostridium]_bolteae"	208479
"k2_0214856"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes_finegoldii"	214856
"k2_0216816"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium_longum"	216816
