"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__0010239"	0.013461	0.03109	0.012156	0.014316	0.013075	0.083989	0.303193	0.795608	0.167471	0.027869	0.022497	0.008551
"kai__NA"	7.558828	13.693698	16.704632	2.067371	0.776866	3.165857	0.478823	1.363289	21.691439	15.656534	6.821986	1.253022
"kai__0001578"	32.66489	69.214584	70.954117	0.48092	0.262587	2.780866	0.173781	0.391116	1.332975	64.68309	14.616652	23.477633
"kai__0000810"	2.446078	0.534046	0.115363	6.97466	8.714412	7.050233	7.775785	7.274974	0.009045	0.123849	5.771229	2.587159
"kai__0000209"	2.108239	0.032786	0.038836	0.081125	0.027239	0.281582	0	0.097378	1.352371	0.019372	0.225635	0.004853
"kai__0001716"	0.077729	0.00855	0.113436	0.009014	0	0.008253	0	0	0.006232	0.668246	0.055582	0.00416
"kai__0001678"	0.075124	0.046777	0.007262	0.444334	0.154719	0.875332	0.099832	0.422684	4.659242	0.062034	0.430758	0.119016
"kai__0000816"	0.066005	0.036178	0.005909	0.112939	0.073001	0.157783	0.11647	0.073301	0.905011	0.057191	0.539936	0.033509
"kai__0216851"	0.052543	0.060202	0.005857	0.618249	0.12748	1.011754	0.085042	0.263241	11.985699	0.101219	0.756969	0.02727
"kai__0001350"	0.047332	0.083873	0.057447	0.172325	0.039225	0.039324	0	0.25361	0.124161	0.142516	0.031761	0.155761
"kai__0001301"	0.042556	0.106484	0.064735	0.034995	0	0.096126	0	0.058855	0.513791	0.198739	0.029114	0.068868
"kai__1506553"	0.037779	0.042396	0.002291	0.199897	0.055568	0.331587	0	0.075976	2.478391	0.125081	0.96143	0.021261
"kai__0572511"	0.032568	0.01717	0.002811	0.247088	0.081718	0.425772	0.020336	0.078651	3.182699	0.087482	0.653746	0.04622
"kai__0239759"	0.02866	0.014627	0.000885	0.299581	0.055568	0.511217	0.033277	0.032638	3.193605	0.029762	0.272615	0.227864
"kai__0000194"	0.02562	0.046989	0.024286	0.027042	0.029418	0.066026	0	0.880145	0.589412	0.012372	0.035731	0.002542
"kai__0001279"	0.02562	0.041689	0.043443	0.014846	0	0.009224	0	0	0.034318	0.264736	0.05889	0.040442
"kai__0002701"	0.025186	0.048402	0.053751	0	0	0	0	0	0.006075	0.087746	0.017866	0
"kai__0001485"	0.022581	0.100831	0.064865	0.127786	0.042493	0.217012	0	0.056179	2.025635	0.065777	0.378485	0.021954
"kai__0032008"	0.019541	0.004593	0.000469	0.025981	0.021791	0.031071	0.04437	0.029962	0.001485	0.000837	0.014557	0.013866
"kai__0000662"	0.016067	0.035047	0.037066	0	0	0	0	0	0.015151	0.033373	0.008602	0.010399
"kai__1017280"	0.016067	0.012365	0.002473	0.053023	0.015254	0.117973	0	0.040128	1.05662	0.039801	0.21174	0.010631
"kai__0001386"	0.015633	0.020421	0.024025	0.009014	0	0.025731	0	0.008026	0.074597	0.025448	0.030438	0.038363
"kai__0292632"	0.011725	0.004734	0.002551	0.070521	0.020702	0.126712	0	0.057785	1.172771	0.022454	0.119104	0.024497
"kai__0001730"	0.010856	0.006359	0.002629	0.050902	0.010896	0.093213	0	0.029962	0.925254	0.027165	0.201153	0.009475
"kai__0397864"	0.010422	0.010528	0.000521	0.018028	0	0	0	0	0.002489	0.02646	0.252764	0
"kai__0000286"	0.009988	0.002826	0.000963	0.007423	0.011985	0.029129	0.025882	0.014446	0.004151	0.011887	0.012572	0.026345
"kai__0001817"	0.009988	0.001413	0.000416	0.028632	0.032687	0.019419	0	0.026217	0.004099	0.001233	0.011249	0.007395
"kai__0000561"	0.009119	0.002402	0.000885	0.033935	0.02506	0.03447	0.020336	0.070091	0.010822	0.004359	0.022497	0.065401
"kai__0001253"	0.008251	0.016464	0.020511	0	0	0	0	0	0.001265	0.01858	0.007279	0.018257
"kai__0033024"	0.007816	0.004734	0.000547	0	0	0	0	0	0.015402	0.004931	0.029776	0
"kai__0001883"	0.007382	0.003109	0.003019	0	0	0.007768	0	0.009631	0.00688	0.006692	0	0.009475
"kai__0044249"	0.007382	0.003392	0.003254	0	0	0.013108	0	0	0.063711	0.005812	0.012572	0.006702
"kai__0946234"	0.006948	0.006854	0.000495	0.040298	0	0.097583	0	0.025682	1.047941	0.019196	0.134984	0.010168
"kai__0032207"	0.006514	0	0.00216	0	0	0	0	0	0.000293	0.188921	0	0
"kai__0001263"	0.006079	0.007773	0.003592	0.02333	0.010896	0.065541	0	0.008561	0.480958	0.017083	0.088004	0.006009
"kai__0069965"	0.006079	0.000707	0.000651	0.014316	0.010896	0.007282	0	0.011236	0.000471	0.000881	0.006617	0.003466
"kai__0001637"	0.005645	0.012577	0.013223	0	0	0	0	0	0.008104	0.014177	0	0.005084
"kai__0002697"	0.005645	0.013779	0.009501	0	0	0	0	0	0.004779	0.009202	0	0.028425
"kai__0059753"	0.005645	0.009963	0.010412	0	0	0	0	0	0.000314	0.011007	0	0
"kai__0261963"	0.005645	0	0	0.007953	0	0.010681	0	0.006421	0.000178	0	0	0.005084
"kai__0001243"	0.005211	0.00961	0.010334	0	0	0	0	0	0.0016	0.009906	0	0.005777
"kai__0543311"	0.005211	0.012365	0.013223	0	0	0	0	0	0.002625	0.012152	0	0
"kai__0580596"	0.005211	0.002473	0.000338	0.030223	0.011985	0.074279	0	0.027822	0.642939	0.007529	0.073447	0.009475
"kai__0000547"	0.004777	0.000777	0	0.006893	0.010896	0.010681	0	0.010701	0.000627	0.000704	0.008602	0.009937
"kai__2048137"	0.004777	0.001978	0	0.006893	0	0.022818	0	0.011236	0.170253	0.004447	0.031761	0
"kai__0001357"	0.004342	0.00643	0.005726	0.081125	0	0	0	0	0.00665	0.009158	0	0.006933
"kai__0037914"	0.004342	0	0.008017	0	0	0	0	0	0.000146	0.027781	0	0
"kai__0182709"	0.004342	0.002049	0.00164	0	0	0	0	0	0.002708	0.010302	0	0
"kai__0046255"	0	0.011941	0.012442	0	0	0	0	0	0.001757	0.018007	0	0.006009
"kai__0261684"	0	0.005865	0.00518	0	0	0	0	0	0.000293	0.003698	0	0
"kai__0002747"	0	0.00537	0.004269	0	0	0	0	0	0.003147	0.004006	0	0.015484
"kai__1505663"	0	0.004098	0.000573	0.052493	0.018523	0.052918	0	0.026217	0.621315	0.01268	0.087343	0
"kai__0046254"	0	0.003745	0.003384	0	0	0	0	0	0.000596	0.005327	0	0
"kai__0459786"	0	0.003674	0.000312	0.024921	0	0.080105	0	0.006421	0.605683	0.007397	0.063522	0.004853
"kai__1924093"	0	0.003462	0.000338	0.019619	0	0.036897	0	0.011771	0.312817	0.007661	0.054258	0.007164
"kai__0001654"	0	0.002897	0.002941	0	0	0	0	0	0.007173	0.004755	0	0.003929
"kai__0083461"	0	0.002897	0	0.035525	0	0.044179	0	0.005885	1.771939	0.00678	0.095945	0.007164
"kai__1870884"	0	0.002544	0.002759	0.005302	0	0.011652	0	0.005885	0.075078	0.004887	0.013895	0.002542
"kai__0000413"	0	0.002473	0.00203	0	0	0	0	0	0.00023	0.002025	0	0.003929
"kai__0029465"	0	0.002332	0.001171	0	0	0	0	0	0.007832	0.001013	0	0.007857
"kai__0129337"	0	0.002332	0.002551	0	0	0	0	0	0.00115	0.004095	0	0
"kai__0000841"	0	0.002049	0.000547	0.013786	0	0.023303	0	0.008026	0.172449	0.005856	0.036393	0
"kai__0379065"	0	0.002049	0.002056	0	0	0	0	0	0.000491	0.003478	0	0
"kai__0000838"	0	0.001766	0.000781	0.005302	0	0.006311	0	0	0.028107	0.003918	0.033746	0
"kai__0204475"	0	0.001625	0	0.013786	0	0.031071	0	0.016586	0.25952	0.005107	0.027129	0.003004
"kai__0400634"	0	0.001555	0.002291	0	0	0	0	0	0.003838	0.002289	0	0
"kai__0002737"	0	0.001484	0.001822	0	0	0	0	0	0.003618	0.002421	0	0
"kai__0000374"	0	0.001413	0.000286	0.007953	0	0.175746	0	0.009631	0.001014	0.019812	0.021174	0.183493
"kai__0000469"	0	0.001413	0.001536	0.005302	0	0.100981	0	0.00535	0.002039	0.037731	0.008602	0.225553
"kai__0002093"	0	0.001413	0.000364	0	0	0.008739	0	0	0.075099	0.00317	0.036393	0
"kai__0035832"	0	0.001413	0	0.007423	0	0.005826	0	0	0.086967	0.001893	0.017866	0
"kai__0082802"	0	0.001413	0.001275	0	0	0	0	0	0.004036	0.001453	0	0
"kai__0559173"	0	0.001413	0.001432	0	0	0	0	0	0.000345	0.002245	0	0
"kai__1928820"	0	0.001413	0	0	0	0.011652	0	0.017121	0.097266	0.002245	0.016542	0
"kai__0000830"	0	0.001343	0.001458	0.006363	0	0.010195	0	0	0.099682	0.003874	0.025144	0.003004
"kai__0265975"	0	0.001343	0.001223	0	0	0	0	0	0.029205	0.002113	0	0
"kai__0002755"	0	0.001272	0.001874	0	0	0	0	0	0.000471	0.001145	0	0
"kai__0171413"	0	0.001272	0.001692	0	0	0	0	0	0.000366	0.001937	0	0
"kai__1501226"	0	0.001272	0.000547	0.006893	0	0.007768	0	0	0.064935	0.005019	0.01588	0
"kai__2023266"	0	0.001272	0	0.013786	0	0.017478	0	0	0.154432	0.004183	0.028453	0.002311
"kai__0002335"	0	0.001201	0.0019	0	0	0	0	0	0.000983	0.002201	0	0
"kai__0283168"	0	0.001201	0	0	0	0	0	0	0.014493	0.002289	0.024482	0
"kai__0375288"	0	0.001201	0.000338	0.006363	0	0.006797	0	0	0.041523	0.003126	0.030438	0
"kai__1924110"	0	0.001201	0.00026	0.02333	0	0.030586	0	0.012306	0.274253	0.00361	0.019189	0.003004
"kai__0033042"	0	0.001131	0.000729	0.007423	0	0.013594	0	0	0.076929	0.002201	0.009264	0
"kai__0102106"	0	0.001131	0.000651	0	0	0.00534	0	0	0.069316	0.001101	0	0.007626
"kai__0000626"	0	0.00106	0.000625	0	0	0	0	0	0.000324	0.001321	0	0
"kai__0189330"	0	0.00106	0.000547	0.007953	0	0.019905	0	0	0.130393	0.004711	0.028453	0
"kai__0045667"	0	0.000989	0	0	0	0	0	0	0.001046	0	0	0
"kai__1903506"	0	0.000989	0.00026	0.019619	0.010896	0.0301	0	0.009631	0.251458	0.008365	0.060875	0.003004
"kai__1082702"	0	0.000919	0	0	0	0	0	0	0	0	0	0
"kai__0001375"	0	0.000848	0.000911	0	0	0.026216	0	0	0.003597	0.016818	0	0.05038
"kai__0150247"	0	0.000848	0.000807	0	0	0	0	0	0.000795	0.001497	0	0
"kai__0000970"	0	0.000777	0.000755	0	0	0	0	0	0.022241	0.001981	0	0
"kai__0032067"	0	0.000777	0	0	0	0	0	0	0.003503	0	0	0
"kai__0052784"	0	0.000777	0	0.006893	0	0.014079	0	0.006421	0.100058	0.003434	0.017866	0
"kai__0068287"	0	0.000777	0.000495	0	0	0	0	0	0.001025	0.00066	0	0.004853
"kai__0084406"	0	0.000777	0.000364	0	0	0	0	0	0.003053	0.001277	0	0
"kai__0244127"	0	0.000777	0	0.008484	0	0.012137	0	0	0.129514	0.002421	0.017866	0
"kai__0000157"	0	0.000707	0.000312	0	0	0	0	0	0.0291	0.000881	0	0
"kai__0051668"	0	0.000707	0.000599	0	0	0	0	0	0.0023	0.000792	0	0.003004
"kai__0574697"	0	0.000707	0	0.012726	0	0.023303	0	0	0.213083	0.000969	0	0.008782
"kai__0644652"	0	0.000707	0	0.005302	0	0	0	0	0.042778	0.000748	0	0
"kai__1940255"	0	0.000707	0	0.009544	0	0.011652	0	0.011771	0.099044	0.001629	0.01191	0
"kai__2039240"	0	0.000707	0	0	0	0.009224	0	0	0.055817	0.001849	0.010587	0
"kai__0002013"	0	0	0.002915	0	0	0	0	0	0.000586	0.018976	0	0
"kai__0577310"	0	0	0.001145	0	0	0	0	0	0.002133	0.001145	0	0
"kai__0099906"	0	0	0.000755	0	0	0	0	0	0.001527	0.001145	0	0
"kai__0013075"	0	0	0.000729	0	0	0	0	0	0.000596	0.002025	0	0
"kai__0029521"	0	0	0.000703	0	0	0	0	0	0.005699	0.000837	0	0
"kai__0001372"	0	0	0.000677	0	0	0	0	0	0.002781	0.000528	0	0
"kai__0670516"	0	0	0.000625	0	0	0	0	0	0.001391	0.04799	0	0.008551
"kai__0028236"	0	0	0.000599	0	0	0	0	0	0.000596	0.00066	0	0
"kai__2057233"	0	0	0.000547	0	0	0	0	0	0.014921	0.000572	0	0
"kai__0165779"	0	0	0.000521	0	0	0	0	0	0.007152	0.000704	0	0
"kai__0046205"	0	0	0.000495	0	0	0	0	0	0.02062	0.000704	0	0
"kai__0066831"	0	0	0.000495	0	0	0	0	0	0.001903	0.001145	0	0
"kai__1906945"	0	0	0.000495	0	0	0	0	0	0.000387	0.000837	0	0
"kai__0002053"	0	0	0.000469	0	0	0	0	0	0.000565	0.001321	0	0
"kai__0029574"	0	0	0.000469	0	0	0	0	0	0.000627	0	0	0
"kai__1470540"	0	0	0.000469	0	0	0	0	0	0.001757	0.00995	0	0
"kai__0002077"	0	0	0.000443	0	0	0	0	0	0.002457	0.000616	0	0
"kai__0052225"	0	0	0.000443	0	0	0	0	0	0.004998	0	0	0
"kai__0240233"	0	0	0.000416	0	0	0	0	0	0.000178	0.000484	0	0
"kai__0033882"	0	0	0.00039	0	0	0	0	0	0.00253	0.009378	0	0.006009
"kai__0083660"	0	0	0.00039	0	0	0	0	0	0.00068	0	0	0
"kai__0665568"	0	0	0.00039	0	0	0	0	0	0	0.000484	0	0
"kai__0000482"	0	0	0.000364	0	0	0	0	0	0.001182	0.001761	0	0
"kai__0001763"	0	0	0.000364	0	0	0	0	0	0.001318	0.001013	0	0
"kai__0001873"	0	0	0.000364	0	0	0	0	0	0.000931	0.00066	0	0
"kai__0162291"	0	0	0.000364	0	0	0	0	0	0.000544	0	0	0
"kai__0000237"	0	0	0.000338	0	0	0	0	0	0.003566	0.002818	0	0
"kai__0000613"	0	0	0.000338	0	0	0	0	0	0.000753	0	0	0
"kai__0001663"	0	0	0.000338	0	0	0	0	0	0.00183	0.005195	0	0.006933
"kai__0074385"	0	0	0.000338	0	0	0	0	0	0.001819	0.00066	0	0
"kai__0100883"	0	0	0.000338	0	0	0	0	0	0.026309	0.001189	0	0
"kai__1849822"	0	0	0.000338	0	0	0	0	0	0.000753	0	0	0
"kai__0000832"	0	0	0.000312	0	0	0	0	0	0.013991	0.001101	0	0
"kai__0001827"	0	0	0.000312	0	0	0	0	0	0.000878	0.002466	0	0
"kai__0133925"	0	0	0.000312	0.021739	0	0.048063	0	0.011236	0.390875	0.000792	0	0.092902
"kai__0200670"	0	0	0.000312	0	0	0	0	0	0.00022	0	0	0
"kai__0292636"	0	0	0.000312	0	0	0	0	0	0.00069	0	0	0
"kai__2282523"	0	0	0.000312	0	0	0	0	0	0	0.00066	0	0
"kai__0000836"	0	0	0.000286	0	0	0	0	0	0.003587	0.000837	0.006617	0
"kai__0000904"	0	0	0.000286	0	0	0	0	0	0.073677	0.001189	0.012572	0
"kai__0001649"	0	0	0.000286	0	0	0	0	0	0.000952	0.007397	0	0
"kai__0191303"	0	0	0.000286	0	0	0	0	0	0.003461	0.001101	0	0
"kai__0651660"	0	0	0.000286	0	0	0	0	0	0.000565	0	0	0
"kai__0001129"	0	0	0.00026	0	0	0	0	0	0.001161	0.00044	0	0
"kai__0002132"	0	0	0.00026	0	0	0	0	0	0.001035	0	0	0
"kai__0002745"	0	0	0.00026	0	0	0	0	0	0.001621	0.000969	0	0.011786
"kai__0082800"	0	0	0.00026	0	0	0	0	0	0.00024	0	0	0
"kai__0162289"	0	0	0.00026	0	0	0	0	0	0.011816	0.001057	0	0
"kai__0175304"	0	0	0.00026	0	0	0	0	0	0.001056	0	0	0
"kai__0188143"	0	0	0.00026	0	0	0	0	0	0.000125	0	0	0
"kai__1935927"	0	0	0.00026	0	0	0	0	0	0.014942	0.000881	0	0
"kai__0155493"	0	0	0	0.32079	0.725656	0.156812	0	0	0.000523	0	0	0.04622
"kai__1912216"	0	0	0	0.020679	0	0.05486	0	0	0.000669	0.000572	0	0.007857
"kai__0000171"	0	0	0	0.011665	0.011985	0.007282	0	0.005885	0.000983	0	0	0.006702
"kai__0207244"	0	0	0	0.011135	0	0.047092	0	0	0.432952	0.003962	0.027791	0
"kai__0000113"	0	0	0	0.009544	0	0	0	0	0.000105	0	0	0.003929
"kai__0231683"	0	0	0	0.008484	0.013075	0	0	0	0.000178	0	0	0.00416
