"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__0010239"	31	440	467	27	12	173	164	1487	16016	633	34	37
"kai__NA"	17407	193798	641758	3899	713	6521	259	2548	2074444	355610	10310	5422
"kai__0001578"	75223	979549	2725913	907	241	5728	94	731	127478	1469160	22090	101591
"kai__0000810"	5633	7558	4432	13154	7998	14522	4206	13597	865	2813	8722	11195
"kai__0000209"	4855	464	1492	153	25	580	0	182	129333	440	341	21
"kai__0001716"	179	121	4358	17	0	17	0	0	596	15178	84	18
"kai__0001678"	173	662	279	838	142	1803	54	790	445583	1409	651	515
"kai__0000816"	152	512	227	213	67	325	63	137	86550	1299	816	145
"kai__0216851"	121	852	225	1166	117	2084	46	492	1146243	2299	1144	118
"kai__0001350"	109	1187	2207	325	36	81	0	474	11874	3237	48	674
"kai__0001301"	98	1507	2487	66	0	198	0	110	49136	4514	44	298
"kai__1506553"	87	600	88	377	51	683	0	142	237019	2841	1453	92
"kai__0572511"	75	243	108	466	75	877	11	147	304375	1987	988	200
"kai__0239759"	66	207	34	565	51	1053	18	61	305418	676	412	986
"kai__0000194"	59	665	933	51	27	136	0	1645	56368	281	54	11
"kai__0001279"	59	590	1669	28	0	19	0	0	3282	6013	89	175
"kai__0002701"	58	685	2065	0	0	0	0	0	581	1993	27	0
"kai__0001485"	52	1427	2492	241	39	447	0	105	193720	1494	572	95
"kai__0032008"	45	65	18	49	20	64	24	56	142	19	22	60
"kai__0000662"	37	496	1424	0	0	0	0	0	1449	758	13	45
"kai__1017280"	37	175	95	100	14	243	0	75	101049	904	320	46
"kai__0001386"	36	289	923	17	0	53	0	15	7134	578	46	166
"kai__0292632"	27	67	98	133	19	261	0	108	112157	510	180	106
"kai__0001730"	25	90	101	96	10	192	0	56	88486	617	304	41
"kai__0397864"	24	149	20	34	0	0	0	0	238	601	382	0
"kai__0000286"	23	40	37	14	11	60	14	27	397	270	19	114
"kai__0001817"	23	20	16	54	30	40	0	49	392	28	17	32
"kai__0000561"	21	34	34	64	23	71	11	131	1035	99	34	283
"kai__0001253"	19	233	788	0	0	0	0	0	121	422	11	79
"kai__0033024"	18	67	21	0	0	0	0	0	1473	112	45	0
"kai__0001883"	17	44	116	0	0	16	0	18	658	152	0	41
"kai__0044249"	17	48	125	0	0	27	0	0	6093	132	19	29
"kai__0946234"	16	97	19	76	0	201	0	48	100219	436	204	44
"kai__0032207"	15	0	83	0	0	0	0	0	28	4291	0	0
"kai__0001263"	14	110	138	44	10	135	0	16	45996	388	133	26
"kai__0069965"	14	10	25	27	10	15	0	21	45	20	10	15
"kai__0001637"	13	178	508	0	0	0	0	0	775	322	0	22
"kai__0002697"	13	195	365	0	0	0	0	0	457	209	0	123
"kai__0059753"	13	141	400	0	0	0	0	0	30	250	0	0
"kai__0261963"	13	0	0	15	0	22	0	12	17	0	0	22
"kai__0001243"	12	136	397	0	0	0	0	0	153	225	0	25
"kai__0543311"	12	175	508	0	0	0	0	0	251	276	0	0
"kai__0580596"	12	35	13	57	11	153	0	52	61487	171	111	41
"kai__0000547"	11	11	0	13	10	22	0	20	60	16	13	43
"kai__2048137"	11	28	0	13	0	47	0	21	16282	101	48	0
"kai__0001357"	10	91	220	153	0	0	0	0	636	208	0	30
"kai__0037914"	10	0	308	0	0	0	0	0	14	631	0	0
"kai__0182709"	10	29	63	0	0	0	0	0	259	234	0	0
"kai__0046255"	0	169	478	0	0	0	0	0	168	409	0	26
"kai__0261684"	0	83	199	0	0	0	0	0	28	84	0	0
"kai__0002747"	0	76	164	0	0	0	0	0	301	91	0	67
"kai__1505663"	0	58	22	99	17	109	0	49	59419	288	132	0
"kai__0046254"	0	53	130	0	0	0	0	0	57	121	0	0
"kai__0459786"	0	52	12	47	0	165	0	12	57924	168	96	21
"kai__1924093"	0	49	13	37	0	76	0	22	29916	174	82	31
"kai__0001654"	0	41	113	0	0	0	0	0	686	108	0	17
"kai__0083461"	0	41	0	67	0	91	0	11	169458	154	145	31
"kai__1870884"	0	36	106	10	0	24	0	11	7180	111	21	11
"kai__0000413"	0	35	78	0	0	0	0	0	22	46	0	17
"kai__0029465"	0	33	45	0	0	0	0	0	749	23	0	34
"kai__0129337"	0	33	98	0	0	0	0	0	110	93	0	0
"kai__0000841"	0	29	21	26	0	48	0	15	16492	133	55	0
"kai__0379065"	0	29	79	0	0	0	0	0	47	79	0	0
"kai__0000838"	0	25	30	10	0	13	0	0	2688	89	51	0
"kai__0204475"	0	23	0	26	0	64	0	31	24819	116	41	13
"kai__0400634"	0	22	88	0	0	0	0	0	367	52	0	0
"kai__0002737"	0	21	70	0	0	0	0	0	346	55	0	0
"kai__0000374"	0	20	11	15	0	362	0	18	97	450	32	794
"kai__0000469"	0	20	59	10	0	208	0	10	195	857	13	976
"kai__0002093"	0	20	14	0	0	18	0	0	7182	72	55	0
"kai__0035832"	0	20	0	14	0	12	0	0	8317	43	27	0
"kai__0082802"	0	20	49	0	0	0	0	0	386	33	0	0
"kai__0559173"	0	20	55	0	0	0	0	0	33	51	0	0
"kai__1928820"	0	20	0	0	0	24	0	32	9302	51	25	0
"kai__0000830"	0	19	56	12	0	21	0	0	9533	88	38	13
"kai__0265975"	0	19	47	0	0	0	0	0	2793	48	0	0
"kai__0002755"	0	18	72	0	0	0	0	0	45	26	0	0
"kai__0171413"	0	18	65	0	0	0	0	0	35	44	0	0
"kai__1501226"	0	18	21	13	0	16	0	0	6210	114	24	0
"kai__2023266"	0	18	0	26	0	36	0	0	14769	95	43	10
"kai__0002335"	0	17	73	0	0	0	0	0	94	50	0	0
"kai__0283168"	0	17	0	0	0	0	0	0	1386	52	37	0
"kai__0375288"	0	17	13	12	0	14	0	0	3971	71	46	0
"kai__1924110"	0	17	10	44	0	63	0	23	26228	82	29	13
"kai__0033042"	0	16	28	14	0	28	0	0	7357	50	14	0
"kai__0102106"	0	16	25	0	0	11	0	0	6629	25	0	33
"kai__0000626"	0	15	24	0	0	0	0	0	31	30	0	0
"kai__0189330"	0	15	21	15	0	41	0	0	12470	107	43	0
"kai__0045667"	0	14	0	0	0	0	0	0	100	0	0	0
"kai__1903506"	0	14	10	37	10	62	0	18	24048	190	92	13
"kai__1082702"	0	13	0	0	0	0	0	0	0	0	0	0
"kai__0001375"	0	12	35	0	0	54	0	0	344	382	0	218
"kai__0150247"	0	12	31	0	0	0	0	0	76	34	0	0
"kai__0000970"	0	11	29	0	0	0	0	0	2127	45	0	0
"kai__0032067"	0	11	0	0	0	0	0	0	335	0	0	0
"kai__0052784"	0	11	0	13	0	29	0	12	9569	78	27	0
"kai__0068287"	0	11	19	0	0	0	0	0	98	15	0	21
"kai__0084406"	0	11	14	0	0	0	0	0	292	29	0	0
"kai__0244127"	0	11	0	16	0	25	0	0	12386	55	27	0
"kai__0000157"	0	10	12	0	0	0	0	0	2783	20	0	0
