"X_N10_Nuria_S301_L001"	"X_N11_Nuria_S302_L001"	"X_N12_Nuria_S303_L001"	"X_N1_Nuria_S292_L001"	"X_N2_Nuria_S293_L001"	"X_N3_Nuria_S294_L001"	"X_N4_Nuria_S295_L001"	"X_N5_Nuria_S296_L001"	"X_N6_Nuria_S297_L001"	"X_N7_Nuria_S298_L001"	"X_N8_Nuria_S299_L001"	"X_N9_Nuria_S300_L001"
"k2_0000195"	0	0	0	22	0	68	0	0	34644	0	0	0
"k2_0000197"	0	394	453	13	19	60	0	1107	9223	177	44	0
"k2_0000316"	0	0	0	0	0	0	0	0	0	25	0	0
"k2_0000562"	0	0	0	0	0	0	0	324	1808	0	0	596
"k2_0000750"	0	0	0	250	317	201	0	0	0	0	0	128
"k2_0000817"	0	31	0	17	0	85	0	0	28392	74	56	36
"k2_0000818"	0	0	0	0	0	0	0	0	1073	0	0	0
"k2_0000821"	0	0	0	0	0	0	0	0	118	0	28	0
"k2_0000853"	0	0	0	0	0	0	0	0	1808	0	0	0
"k2_0000901"	0	0	0	0	0	0	0	0	17	0	0	0
"k2_0000907"	0	0	0	0	0	0	0	0	77	0	0	0
"k2_0001249"	0	0	0	0	0	0	0	0	0	14	0	0
"k2_0001280"	0	0	0	0	0	0	0	0	0	3486	0	0
"k2_0001288"	0	0	0	0	0	0	0	0	0	194	0	0
"k2_0001307"	0	0	0	0	0	0	0	0	389	0	0	0
"k2_0001311"	0	0	0	0	0	0	0	0	294	0	0	0
"k2_0001322"	0	0	0	0	0	0	0	0	488	0	0	0
"k2_0001351"	0	0	0	114	0	0	0	0	21	0	0	0
"k2_0001352"	0	25	44	0	0	0	0	0	2382	236	0	0
"k2_0001354"	0	0	0	0	0	0	0	0	0	15	0	0
"k2_0001358"	0	0	0	74	0	0	0	0	37	0	0	0
"k2_0001491"	0	0	0	0	0	0	0	0	0	0	0	42
"k2_0001496"	0	0	0	0	0	0	0	0	11640	0	0	0
"k2_0001502"	0	696	1019	0	0	0	0	0	374	24	0	0
"k2_0001564"	0	0	0	0	0	0	0	0	10	0	0	0
"k2_0001579"	22	507	908	0	0	0	0	0	31	764	11	0
"k2_0001584"	0	65	181	0	0	0	0	0	0	109	0	0
"k2_0001587"	1081	11968	24453	0	0	0	0	0	354	16125	279	0
"k2_0001590"	0	3114	9123	0	0	0	0	0	0	6657	0	0
"k2_0001596"	0	18	73	0	0	0	0	0	37	33	0	0
"k2_0001598"	2820	42906	75585	51	26	78	0	0	3431	68742	1908	98
"k2_0001599"	0	103	177	0	0	0	0	0	0	82	0	664
"k2_0001600"	0	0	41	0	0	0	0	0	0	0	0	0
"k2_0001601"	0	17	35	17	0	0	0	21	2280	39	0	42
"k2_0001604"	2094	30630	73349	0	0	0	0	0	2911	48425	735	0
"k2_0001610"	0	0	19	0	0	0	0	0	0	21	0	0
"k2_0001613"	24	380	1052	0	0	0	0	0	27	512	0	0
"k2_0001624"	19	646	1431	112	16	110	0	106	13776	1267	34	214
"k2_0001685"	0	0	0	0	0	0	0	0	297	0	0	0
"k2_0001694"	0	0	0	0	0	34	0	0	4481	0	0	0
"k2_0001697"	0	0	0	0	0	0	0	0	0	29	0	0
"k2_0001703"	0	0	0	0	0	0	0	0	0	217	0	0
"k2_0001705"	81	50	1367	0	0	0	0	0	0	6127	37	0
"k2_0001718"	0	0	220	0	0	0	0	0	0	597	0	0
"k2_0001727"	0	0	14	0	0	0	0	0	0	36	0	0
"k2_0001736"	0	0	0	0	0	0	0	0	311	0	0	0
"k2_0001747"	0	0	0	329	31	612	0	20	16	45	0	234
"k2_0028025"	0	0	0	0	0	0	0	0	3663	0	0	0
"k2_0028113"	0	0	0	0	0	0	0	0	53	0	0	0
"k2_0028116"	0	0	0	0	0	0	0	0	846	0	0	0
"k2_0028118"	0	0	0	0	0	0	0	0	12	0	0	0
"k2_0029382"	0	0	0	0	0	0	0	0	0	198	0	0
"k2_0029385"	0	0	0	0	0	0	0	0	0	1040	23	0
"k2_0033959"	7015	77729	188913	136	0	246	0	173	18101	89898	2240	2154
"k2_0039488"	0	0	0	0	0	0	0	0	329	0	0	0
"k2_0039491"	0	0	0	0	0	0	0	0	34	0	0	0
"k2_0043669"	0	0	0	0	0	0	0	0	0	319	0	0
"k2_0044008"	0	0	0	53	0	0	0	0	2780	611	0	0
"k2_0047678"	0	0	0	0	0	0	0	0	26	0	0	0
"k2_0051665"	0	0	0	0	0	0	0	0	0	215	0	0
"k2_0052242"	254	2316	4223	0	0	0	0	0	0	3253	0	0
"k2_0053345"	0	78	32	0	0	0	0	175	153	17	0	0
"k2_0059310"	0	0	0	0	0	0	0	0	141	0	0	0
